Firm,Expected Total,Expected Total Source,Discovered URLs,Extracted Attorneys,US Attorneys,Coverage Ratio,Missing Fields Ratio,Status,Legally Incomplete Reason,Sources Tried,Notes
Brownstein,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,"directory_listing, dom_exhaustion",
Thompson Coburn,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,directory_listing,Hard timeout 45s exceeded after 90s
Marshall Dennehey,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Thompson Hine,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,directory_listing,Hard timeout 45s exceeded after 91s
Ice Miller,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=icemiller.com, structure_type=BOT_PROTECTED, is_bot_protected=False"
Brown Rudnick,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Hughes Hubbard,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Patterson Belknap,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Kelley Drye,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BOT_PROTECTED_PRECLASSIFIED,,"Preclassified as bot protected in site_structures.json: domain=kelleydrye.com, structure_type=BOT_PROTECTED, is_bot_protected=True"
Allen Matkins,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Carlton Fields,,unknown,368,0,0,,0.0%,PARTIAL,,xml_sitemap,
Wiley Rein,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Dykema,,unknown,418,418,418,,30.9%,PARTIAL,,xml_sitemap,
Kasowitz,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Vorys,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Smith Gambrell,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Day Pitney,,unknown,284,0,0,,0.0%,PARTIAL,,xml_sitemap,
Michael Best,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Phelps Dunbar,,unknown,472,472,472,,32.2%,PARTIAL,,xml_sitemap,
Shutts & Bowen,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Pryor Cashman,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Armstrong Teasdale,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,"directory_listing, dom_exhaustion",
Robinson & Cole,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Seward & Kissel,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Fennemore Craig,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
Lewis Roca,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
GrayRobinson,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,"directory_listing, dom_exhaustion",
Offit Kurman,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Morris Manning,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,BLOCKED_BY_BOT,,Legally inaccessible: BLOCKED_BY_BOT
"Atkinson, Andelson, Loya, Ruud & Romo",,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Hanson Bridgett,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Irell,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Robins Kaplan,,unknown,211,211,211,,28.1%,PARTIAL,,xml_sitemap,
"Cox, Castle & Nicholson",,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
UB Greensfelder,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
Porter Wright,,unknown,1,1,1,,100.0%,PARTIAL,,xml_sitemap,
Miles & Stockbridge,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,"directory_listing, dom_exhaustion",
Herrick Feinstein,,unknown,0,0,0,,0.0%,LEGALLY_INCOMPLETE,,xml_sitemap,
